,Comunidades y Ciudades Autónomas,Provincias,Periodo,NumCompraVentas,TotalPoblación,PrecioVivienda
85,01 Andalucía,29 Málaga,2019M01,2789.0,1660984.0,114705.0
86,01 Andalucía,41 Sevilla,2019M01,1672.0,1949639.0,114705.0
87,01 Andalucía,04 Almería,2018M07,963.0,701831.0,112673.0
88,01 Andalucía,11 Cádiz,2018M07,1273.0,1248509.0,112673.0
89,01 Andalucía,14 Córdoba,2018M07,560.0,784593.0,112673.0
90,01 Andalucía,18 Granada,2018M07,918.0,917849.0,112673.0
91,01 Andalucía,21 Huelva,2018M07,489.0,523214.0,112673.0
92,01 Andalucía,23 Jaén,2018M07,416.0,633900.0,112673.0
93,01 Andalucía,29 Málaga,2018M07,2722.0,1650111.0,112673.0
94,01 Andalucía,41 Sevilla,2018M07,1506.0,1946216.0,112673.0
95,01 Andalucía,04 Almería,2018M01,964.0,701069.0,108283.0
96,01 Andalucía,11 Cádiz,2018M01,1113.0,1249245.0,108283.0
97,01 Andalucía,14 Córdoba,2018M01,554.0,786524.0,108283.0
98,01 Andalucía,18 Granada,2018M01,990.0,917445.0,108283.0
99,01 Andalucía,21 Huelva,2018M01,438.0,522484.0,108283.0
100,01 Andalucía,23 Jaén,2018M01,427.0,636586.0,108283.0
101,01 Andalucía,29 Málaga,2018M01,3033.0,1651506.0,108283.0
102,01 Andalucía,41 Sevilla,2018M01,1564.0,1945236.0,108283.0
103,01 Andalucía,04 Almería,2017M07,647.0,700704.0,106913.0
104,01 Andalucía,11 Cádiz,2017M07,875.0,1248476.0,106913.0
105,01 Andalucía,14 Córdoba,2017M07,488.0,787839.0,106913.0
106,01 Andalucía,18 Granada,2017M07,761.0,916503.0,106913.0
107,01 Andalucía,21 Huelva,2017M07,360.0,521611.0,106913.0
108,01 Andalucía,23 Jaén,2017M07,265.0,638992.0,106913.0
109,01 Andalucía,29 Málaga,2017M07,2572.0,1645401.0,106913.0
110,01 Andalucía,41 Sevilla,2017M07,1285.0,1943275.0,106913.0
111,01 Andalucía,04 Almería,2017M01,713.0,700041.0,104051.0
112,01 Andalucía,11 Cádiz,2017M01,817.0,1248958.0,104051.0
113,01 Andalucía,14 Córdoba,2017M01,484.0,789981.0,104051.0
114,01 Andalucía,18 Granada,2017M01,716.0,917039.0,104051.0
115,01 Andalucía,21 Huelva,2017M01,317.0,521110.0,104051.0
116,01 Andalucía,23 Jaén,2017M01,396.0,641816.0,104051.0
117,01 Andalucía,29 Málaga,2017M01,2272.0,1646714.0,104051.0
118,01 Andalucía,41 Sevilla,2017M01,1142.0,1943166.0,104051.0
119,01 Andalucía,04 Almería,2016M07,956.0,698033.0,103113.0
120,01 Andalucía,11 Cádiz,2016M07,869.0,1248321.0,103113.0
121,01 Andalucía,14 Córdoba,2016M07,370.0,790873.0,103113.0
122,01 Andalucía,18 Granada,2016M07,601.0,916767.0,103113.0
123,01 Andalucía,21 Huelva,2016M07,330.0,521382.0,103113.0
124,01 Andalucía,23 Jaén,2016M07,269.0,643987.0,103113.0
125,01 Andalucía,29 Málaga,2016M07,2108.0,1643219.0,103113.0
126,01 Andalucía,41 Sevilla,2016M07,1148.0,1941355.0,103113.0
127,01 Andalucía,04 Almería,2016M01,861.0,696186.0,101910.0
128,01 Andalucía,11 Cádiz,2016M01,789.0,1248241.0,101910.0
129,01 Andalucía,14 Córdoba,2016M01,416.0,792412.0,101910.0
130,01 Andalucía,18 Granada,2016M01,641.0,917494.0,101910.0
131,01 Andalucía,21 Huelva,2016M01,332.0,521648.0,101910.0
132,01 Andalucía,23 Jaén,2016M01,297.0,646500.0,101910.0
133,01 Andalucía,29 Málaga,2016M01,1883.0,1640572.0,101910.0
134,01 Andalucía,41 Sevilla,2016M01,1064.0,1940721.0,101910.0
135,01 Andalucía,04 Almería,2015M07,554.0,693634.0,101734.0
136,01 Andalucía,11 Cádiz,2015M07,1180.0,1247823.0,101734.0
137,01 Andalucía,14 Córdoba,2015M07,383.0,793543.0,101734.0
138,01 Andalucía,18 Granada,2015M07,642.0,917814.0,101734.0
139,01 Andalucía,21 Huelva,2015M07,374.0,521738.0,101734.0
140,01 Andalucía,23 Jaén,2015M07,266.0,648938.0,101734.0
141,01 Andalucía,29 Málaga,2015M07,2159.0,1635082.0,101734.0
142,01 Andalucía,41 Sevilla,2015M07,1007.0,1939763.0,101734.0
143,01 Andalucía,04 Almería,2015M01,659.0,691155.0,96637.0
144,01 Andalucía,11 Cádiz,2015M01,758.0,1248584.0,96637.0
145,01 Andalucía,14 Córdoba,2015M01,386.0,795703.0,96637.0
146,01 Andalucía,18 Granada,2015M01,593.0,919139.0,96637.0
147,01 Andalucía,21 Huelva,2015M01,291.0,522136.0,96637.0
148,01 Andalucía,23 Jaén,2015M01,310.0,652132.0,96637.0
149,01 Andalucía,29 Málaga,2015M01,2128.0,1631357.0,96637.0
150,01 Andalucía,41 Sevilla,2015M01,1006.0,1939412.0,96637.0
151,01 Andalucía,04 Almería,2014M07,555.0,689390.0,97478.0
152,01 Andalucía,11 Cádiz,2014M07,707.0,1247710.0,97478.0
153,01 Andalucía,14 Córdoba,2014M07,312.0,796660.0,97478.0
154,01 Andalucía,18 Granada,2014M07,603.0,919248.0,97478.0
155,01 Andalucía,21 Huelva,2014M07,380.0,521617.0,97478.0
156,01 Andalucía,23 Jaén,2014M07,245.0,653886.0,97478.0
157,01 Andalucía,29 Málaga,2014M07,1945.0,1624647.0,97478.0
158,01 Andalucía,41 Sevilla,2014M07,1131.0,1937694.0,97478.0
159,01 Andalucía,04 Almería,2014M01,786.0,688888.0,95522.0
160,01 Andalucía,11 Cádiz,2014M01,682.0,1247552.0,95522.0
161,01 Andalucía,14 Córdoba,2014M01,329.0,797769.0,95522.0
162,01 Andalucía,18 Granada,2014M01,551.0,920484.0,95522.0
163,01 Andalucía,21 Huelva,2014M01,322.0,521428.0,95522.0
164,01 Andalucía,23 Jaén,2014M01,221.0,656132.0,95522.0
165,01 Andalucía,29 Málaga,2014M01,1902.0,1619714.0,95522.0
166,01 Andalucía,41 Sevilla,2014M01,935.0,1936908.0,95522.0
167,01 Andalucía,04 Almería,2013M07,505.0,689966.0,97433.0
168,01 Andalucía,11 Cádiz,2013M07,496.0,1247150.0,97433.0
169,01 Andalucía,14 Córdoba,2013M07,281.0,799002.0,97433.0
170,01 Andalucía,18 Granada,2013M07,492.0,920898.0,97433.0
171,01 Andalucía,21 Huelva,2013M07,424.0,521275.0,97433.0
172,01 Andalucía,23 Jaén,2013M07,185.0,658482.0,97433.0
173,01 Andalucía,29 Málaga,2013M07,1582.0,1613953.0,97433.0
174,01 Andalucía,41 Sevilla,2013M07,885.0,1936538.0,97433.0
175,01 Andalucía,04 Almería,2013M01,1059.0,691680.0,97307.0
176,01 Andalucía,11 Cádiz,2013M01,950.0,1247578.0,97307.0
177,01 Andalucía,14 Córdoba,2013M01,577.0,800414.0,97307.0
178,01 Andalucía,18 Granada,2013M01,838.0,922138.0,97307.0
179,01 Andalucía,21 Huelva,2013M01,431.0,520948.0,97307.0
180,01 Andalucía,23 Jaén,2013M01,361.0,661716.0,97307.0
181,01 Andalucía,29 Málaga,2013M01,2243.0,1611983.0,97307.0
182,01 Andalucía,41 Sevilla,2013M01,1850.0,1936703.0,97307.0
183,01 Andalucía,04 Almería,2012M07,703.0,690026.0,104624.0
184,01 Andalucía,11 Cádiz,2012M07,710.0,1245778.0,104624.0
185,01 Andalucía,14 Córdoba,2012M07,264.0,801413.0,104624.0
186,01 Andalucía,18 Granada,2012M07,606.0,922125.0,104624.0
187,01 Andalucía,21 Huelva,2012M07,427.0,520209.0,104624.0
188,01 Andalucía,23 Jaén,2012M07,474.0,664448.0,104624.0
189,01 Andalucía,29 Málaga,2012M07,1456.0,1604584.0,104624.0
190,01 Andalucía,41 Sevilla,2012M07,835.0,1934552.0,104624.0
191,01 Andalucía,04 Almería,2012M01,707.0,689320.0,110865.0
192,01 Andalucía,11 Cádiz,2012M01,935.0,1245363.0,110865.0
193,01 Andalucía,14 Córdoba,2012M01,381.0,802717.0,110865.0
194,01 Andalucía,18 Granada,2012M01,628.0,922460.0,110865.0
195,01 Andalucía,21 Huelva,2012M01,414.0,519980.0,110865.0
196,01 Andalucía,23 Jaén,2012M01,300.0,667260.0,110865.0
197,01 Andalucía,29 Málaga,2012M01,1653.0,1598137.0,110865.0
198,01 Andalucía,41 Sevilla,2012M01,1039.0,1932573.0,110865.0
199,01 Andalucía,04 Almería,2011M07,1597.0,687413.0,119932.0
200,01 Andalucía,11 Cádiz,2011M07,664.0,1242290.0,119932.0
201,01 Andalucía,14 Córdoba,2011M07,305.0,802112.0,119932.0
202,01 Andalucía,18 Granada,2011M07,633.0,920886.0,119932.0
203,01 Andalucía,21 Huelva,2011M07,539.0,519166.0,119932.0
204,01 Andalucía,23 Jaén,2011M07,283.0,667614.0,119932.0
205,01 Andalucía,29 Málaga,2011M07,1303.0,1588036.0,119932.0
206,01 Andalucía,41 Sevilla,2011M07,1004.0,1925234.0,119932.0
207,01 Andalucía,04 Almería,2011M01,1603.0,686448.0,122879.0
208,01 Andalucía,11 Cádiz,2011M01,1064.0,1238923.0,122879.0
209,01 Andalucía,14 Córdoba,2011M01,599.0,801792.0,122879.0
210,01 Andalucía,18 Granada,2011M01,1169.0,919885.0,122879.0
211,01 Andalucía,21 Huelva,2011M01,516.0,517890.0,122879.0
212,01 Andalucía,23 Jaén,2011M01,542.0,667059.0,122879.0
213,01 Andalucía,29 Málaga,2011M01,2109.0,1581343.0,122879.0
214,01 Andalucía,41 Sevilla,2011M01,1621.0,1918747.0,122879.0
215,01 Andalucía,04 Almería,2010M07,910.0,683783.0,127118.0
216,01 Andalucía,11 Cádiz,2010M07,1098.0,1234074.0,127118.0
217,01 Andalucía,14 Córdoba,2010M07,566.0,800839.0,127118.0
218,01 Andalucía,18 Granada,2010M07,944.0,917503.0,127118.0
219,01 Andalucía,21 Huelva,2010M07,489.0,516786.0,127118.0
220,01 Andalucía,23 Jaén,2010M07,336.0,666554.0,127118.0
221,01 Andalucía,29 Málaga,2010M07,1903.0,1572991.0,127118.0
222,01 Andalucía,41 Sevilla,2010M07,1270.0,1910388.0,127118.0
223,01 Andalucía,04 Almería,2010M01,918.0,680484.0,128360.00000000001
224,01 Andalucía,11 Cádiz,2010M01,1079.0,1229844.0,128360.00000000001
225,01 Andalucía,14 Córdoba,2010M01,643.0,799757.0,128360.00000000001
226,01 Andalucía,18 Granada,2010M01,841.0,915317.0,128360.00000000001
227,01 Andalucía,21 Huelva,2010M01,327.0,514629.0,128360.00000000001
228,01 Andalucía,23 Jaén,2010M01,385.0,666363.0,128360.00000000001
229,01 Andalucía,29 Málaga,2010M01,1857.0,1566667.0,128360.00000000001
230,01 Andalucía,41 Sevilla,2010M01,1412.0,1902956.0,128360.00000000001
231,01 Andalucía,04 Almería,2009M07,1160.0,676797.0,129930.0
232,01 Andalucía,11 Cádiz,2009M07,919.0,1225259.0,129930.0
233,01 Andalucía,14 Córdoba,2009M07,518.0,798522.0,129930.0
234,01 Andalucía,18 Granada,2009M07,982.0,912113.0,129930.0
235,01 Andalucía,21 Huelva,2009M07,327.0,512921.0,129930.0
236,01 Andalucía,23 Jaén,2009M07,379.0,665713.0,129930.0
237,01 Andalucía,29 Málaga,2009M07,1928.0,1559580.0,129930.0
238,01 Andalucía,41 Sevilla,2009M07,1710.0,1893602.0,129930.0
239,01 Andalucía,04 Almería,2009M01,1085.0,673042.0,130500.0
240,01 Andalucía,11 Cádiz,2009M01,1070.0,1221024.0,130500.0
241,01 Andalucía,14 Córdoba,2009M01,554.0,797328.0,130500.0
242,01 Andalucía,18 Granada,2009M01,870.0,909112.0,130500.0
243,01 Andalucía,21 Huelva,2009M01,468.0,510278.0,130500.0
244,01 Andalucía,23 Jaén,2009M01,582.0,665201.0,130500.0
245,01 Andalucía,29 Málaga,2009M01,2305.0,1552894.0,130500.0
246,01 Andalucía,41 Sevilla,2009M01,1542.0,1884107.0,130500.0
247,01 Andalucía,04 Almería,2008M07,987.0,666284.0,135361.0
248,01 Andalucía,11 Cádiz,2008M07,1148.0,1215173.0,135361.0
249,01 Andalucía,14 Córdoba,2008M07,677.0,794995.0,135361.0
250,01 Andalucía,18 Granada,2008M07,1040.0,905039.0,135361.0
251,01 Andalucía,21 Huelva,2008M07,581.0,507530.0,135361.0
252,01 Andalucía,23 Jaén,2008M07,650.0,664211.0,135361.0
253,01 Andalucía,29 Málaga,2008M07,2313.0,1543169.0,135361.0
254,01 Andalucía,41 Sevilla,2008M07,2199.0,1872245.0,135361.0
255,01 Andalucía,04 Almería,2008M01,1581.0,659443.0,135751.0
256,01 Andalucía,11 Cádiz,2008M01,1584.0,1209067.0,135751.0
257,01 Andalucía,14 Córdoba,2008M01,939.0,792681.0,135751.0
258,01 Andalucía,18 Granada,2008M01,1435.0,900260.0,135751.0
259,01 Andalucía,21 Huelva,2008M01,781.0,505037.0,135751.0
260,01 Andalucía,23 Jaén,2008M01,718.0,663528.0,135751.0
261,01 Andalucía,29 Málaga,2008M01,3586.0,1529003.0,135751.0
262,01 Andalucía,41 Sevilla,2008M01,2585.0,1859555.0,135751.0
263,01 Andalucía,04 Almería,2007M07,1999.0,649622.0,133943.0
264,01 Andalucía,11 Cádiz,2007M07,1786.0,1201290.0,133943.0
265,01 Andalucía,14 Córdoba,2007M07,920.0,789302.0,133943.0
266,01 Andalucía,18 Granada,2007M07,1320.0,892646.0,133943.0
267,01 Andalucía,21 Huelva,2007M07,837.0,501430.0,133943.0
268,01 Andalucía,23 Jaén,2007M07,684.0,661708.0,133943.0
269,01 Andalucía,29 Málaga,2007M07,3599.0,1510399.0,133943.0
270,01 Andalucía,41 Sevilla,2007M07,3489.0,1846364.0,133943.0
271,01 Andalucía,04 Almería,2007M01,2091.0,642797.0,127081.0
272,01 Andalucía,11 Cádiz,2007M01,2110.0,1193632.0,127081.0
273,01 Andalucía,14 Córdoba,2007M01,980.0,786384.0,127081.0
274,01 Andalucía,18 Granada,2007M01,1835.0,885032.0,127081.0
275,01 Andalucía,21 Huelva,2007M01,1096.0,495171.0,127081.0
276,01 Andalucía,23 Jaén,2007M01,819.0,659840.0,127081.0
277,01 Andalucía,29 Málaga,2007M01,4137.0,1491784.0,127081.0
278,01 Andalucía,41 Sevilla,2007M01,3453.0,1831956.0,127081.0
279,02 Aragón,22 Huesca,2022M01,277.0,222329.0,130106.0
280,02 Aragón,44 Teruel,2022M01,106.0,133118.0,130106.0
281,02 Aragón,50 Zaragoza,2022M01,946.0,959140.0,130106.0
282,02 Aragón,22 Huesca,2021M07,260.0,221882.0,125622.0
283,02 Aragón,44 Teruel,2021M07,110.0,133011.0,125622.0
284,02 Aragón,50 Zaragoza,2021M07,872.0,958212.0,125622.0
285,02 Aragón,22 Huesca,2021M01,319.0,221407.0,120807.0
286,02 Aragón,44 Teruel,2021M01,96.0,133253.0,120807.0
287,02 Aragón,50 Zaragoza,2021M01,799.0,976472.0,120807.0
288,02 Aragón,22 Huesca,2020M07,170.0,220705.0,120261.0
289,02 Aragón,44 Teruel,2020M07,90.0,133098.0,120261.0
290,02 Aragón,50 Zaragoza,2020M07,714.0,977311.0,120261.0
291,02 Aragón,22 Huesca,2020M01,257.0,220607.0,118557.0
292,02 Aragón,44 Teruel,2020M01,107.0,133300.0,118557.0
293,02 Aragón,50 Zaragoza,2020M01,904.0,976427.0,118557.0
294,02 Aragón,22 Huesca,2019M07,245.0,219669.0,117328.0
295,02 Aragón,44 Teruel,2019M07,92.0,133061.0,117328.0
296,02 Aragón,50 Zaragoza,2019M07,971.0,971549.0,117328.0
297,02 Aragón,22 Huesca,2019M01,270.0,219239.0,114400.0
298,02 Aragón,44 Teruel,2019M01,109.0,133298.0,114400.0
299,02 Aragón,50 Zaragoza,2019M01,922.0,968049.0,114400.0
300,02 Aragón,22 Huesca,2018M07,217.0,218965.0,110941.0
301,02 Aragón,44 Teruel,2018M07,100.0,133292.0,110941.0
302,02 Aragón,50 Zaragoza,2018M07,939.0,963477.0,110941.0
303,02 Aragón,22 Huesca,2018M01,244.0,219174.0,107505.0
304,02 Aragón,44 Teruel,2018M01,84.0,133850.0,107505.0
305,02 Aragón,50 Zaragoza,2018M01,813.0,960111.0,107505.0
306,02 Aragón,22 Huesca,2017M07,194.0,219171.0,105181.0
307,02 Aragón,44 Teruel,2017M07,64.0,134112.0,105181.0
308,02 Aragón,50 Zaragoza,2017M07,677.0,962431.0,105181.0
309,02 Aragón,22 Huesca,2017M01,235.0,219669.0,104298.0
310,02 Aragón,44 Teruel,2017M01,81.0,134872.0,104298.0
311,02 Aragón,50 Zaragoza,2017M01,767.0,961498.0,104298.0
312,02 Aragón,22 Huesca,2016M07,139.0,219975.0,102258.0
313,02 Aragón,44 Teruel,2016M07,71.0,135336.0,102258.0
314,02 Aragón,50 Zaragoza,2016M07,603.0,961415.0,102258.0
315,02 Aragón,22 Huesca,2016M01,196.0,220588.0,100535.0
316,02 Aragón,44 Teruel,2016M01,89.0,136043.0,100535.0
317,02 Aragón,50 Zaragoza,2016M01,654.0,961941.0,100535.0
318,02 Aragón,22 Huesca,2015M07,131.0,221168.0,100255.0
319,02 Aragón,44 Teruel,2015M07,55.0,136698.0,100255.0
320,02 Aragón,50 Zaragoza,2015M07,636.0,963867.0,100255.0
321,02 Aragón,22 Huesca,2015M01,165.0,222084.0,98632.0
322,02 Aragón,44 Teruel,2015M01,68.0,137715.0,98632.0
323,02 Aragón,50 Zaragoza,2015M01,648.0,966605.0,98632.0
324,02 Aragón,22 Huesca,2014M07,128.0,222697.0,99341.0
325,02 Aragón,44 Teruel,2014M07,45.0,138538.0,99341.0
326,02 Aragón,50 Zaragoza,2014M07,502.0,967100.0,99341.0
327,02 Aragón,22 Huesca,2014M01,197.0,223358.0,98148.0
328,02 Aragón,44 Teruel,2014M01,60.0,139390.0,98148.0
329,02 Aragón,50 Zaragoza,2014M01,464.0,968552.0,98148.0
330,02 Aragón,22 Huesca,2013M07,140.0,223872.0,101370.0
331,02 Aragón,44 Teruel,2013M07,40.0,140303.0,101370.0
332,02 Aragón,50 Zaragoza,2013M07,435.0,970328.0,101370.0
333,02 Aragón,22 Huesca,2013M01,268.0,224688.0,103193.0
334,02 Aragón,44 Teruel,2013M01,116.0,141113.0,103193.0
335,02 Aragón,50 Zaragoza,2013M01,755.0,972508.0,103193.0
336,02 Aragón,22 Huesca,2012M07,119.0,225077.0,114084.0
337,02 Aragón,44 Teruel,2012M07,55.0,141852.0,114084.0
338,02 Aragón,50 Zaragoza,2012M07,546.0,973800.0,114084.0
339,02 Aragón,22 Huesca,2012M01,189.0,225821.0,118835.0
340,02 Aragón,44 Teruel,2012M01,100.0,142918.0,118835.0
341,02 Aragón,50 Zaragoza,2012M01,610.0,975050.0,118835.0
342,02 Aragón,22 Huesca,2011M07,137.0,226090.0,136197.0
343,02 Aragón,44 Teruel,2011M07,59.0,143538.0,136197.0
344,02 Aragón,50 Zaragoza,2011M07,548.0,974838.0,136197.0
345,02 Aragón,22 Huesca,2011M01,242.0,226596.0,139600.0
346,02 Aragón,44 Teruel,2011M01,84.0,144357.0,139600.0
347,02 Aragón,50 Zaragoza,2011M01,1232.0,973443.0,139600.0
348,02 Aragón,22 Huesca,2010M07,252.0,226740.0,145905.0
349,02 Aragón,44 Teruel,2010M07,146.0,144466.0,145905.0
350,02 Aragón,50 Zaragoza,2010M07,1213.0,972628.0,145905.0
351,02 Aragón,22 Huesca,2010M01,245.0,226790.0,148846.0
352,02 Aragón,44 Teruel,2010M01,92.0,145112.0,148846.0
353,02 Aragón,50 Zaragoza,2010M01,638.0,972282.0,148846.0
354,02 Aragón,22 Huesca,2009M07,262.0,226693.0,155071.0
355,02 Aragón,44 Teruel,2009M07,100.0,145630.0,155071.0
356,02 Aragón,50 Zaragoza,2009M07,906.0,972160.0,155071.0
357,02 Aragón,22 Huesca,2009M01,209.0,226769.0,158726.0
358,02 Aragón,44 Teruel,2009M01,141.0,146132.0,158726.0
359,02 Aragón,50 Zaragoza,2009M01,543.0,969877.0,158726.0
360,02 Aragón,22 Huesca,2008M07,341.0,225969.0,169486.0
361,02 Aragón,44 Teruel,2008M07,121.0,146142.0,169486.0
362,02 Aragón,50 Zaragoza,2008M07,702.0,964272.0,169486.0
363,02 Aragón,22 Huesca,2008M01,424.0,224407.0,175804.0
364,02 Aragón,44 Teruel,2008M01,223.0,145704.0,175804.0
365,02 Aragón,50 Zaragoza,2008M01,1073.0,955315.0,175804.0
366,02 Aragón,22 Huesca,2007M07,426.0,221964.0,178362.0
367,02 Aragón,44 Teruel,2007M07,165.0,144754.0,178362.0
368,02 Aragón,50 Zaragoza,2007M07,1262.0,942666.0,178362.0
369,02 Aragón,22 Huesca,2007M01,443.0,220090.0,175582.0
370,02 Aragón,44 Teruel,2007M01,217.0,143622.0,175582.0
371,02 Aragón,50 Zaragoza,2007M01,1471.0,930533.0,175582.0
372,"03 Asturias, Principado de",33 Asturias,2022M01,908.0,1006193.0,123636.0
373,"03 Asturias, Principado de",33 Asturias,2021M07,849.0,1008898.0,119777.0
374,"03 Asturias, Principado de",33 Asturias,2021M01,732.0,1012889.0,115257.0
375,"03 Asturias, Principado de",33 Asturias,2020M07,652.0,1015454.0,114498.0
